FIPS Code,State,County,Poverty Percentage,Unemployment Percentage,No High School Diploma Percentage,Year
01001,ALABAMA,Autauga,12.8,8.5,13.8,2014
01003,ALABAMA,Baldwin,13.8,8.6,11.0,2014
01005,ALABAMA,Barbour,24.1,14.2,25.4,2014
01007,ALABAMA,Bibb,17.0,10.9,22.1,2014
01009,ALABAMA,Blount,17.3,9.3,21.9,2014
01011,ALABAMA,Bullock,20.5,17.4,34.5,2014
01013,ALABAMA,Butler,25.9,12.2,23.4,2014
01015,ALABAMA,Calhoun,21.7,13.5,19.9,2014
01017,ALABAMA,Chambers,23.9,12.7,22.5,2014
01019,ALABAMA,Cherokee,21.0,9.6,20.5,2014
01021,ALABAMA,Chilton,18.8,9.7,22.5,2014
01023,ALABAMA,Choctaw,21.5,13.4,25.9,2014
01025,ALABAMA,Clarke,27.0,19.9,19.9,2014
01027,ALABAMA,Clay,18.7,10.9,25.1,2014
01029,ALABAMA,Cleburne,18.1,8.6,24.7,2014
01031,ALABAMA,Coffee,18.8,7.3,16.9,2014
01033,ALABAMA,Colbert,18.3,10.0,16.4,2014
01035,ALABAMA,Conecuh,32.9,26.7,24.0,2014
01037,ALABAMA,Coosa,20.0,19.9,24.1,2014
01039,ALABAMA,Covington,20.1,10.5,20.0,2014
01041,ALABAMA,Crenshaw,17.2,10.7,23.1,2014
01043,ALABAMA,Cullman,18.0,9.0,18.5,2014
01045,ALABAMA,Dale,18.7,10.8,15.3,2014
01047,ALABAMA,Dallas,35.9,18.0,22.3,2014
01049,ALABAMA,DeKalb,20.1,9.5,26.9,2014
01051,ALABAMA,Elmore,12.9,8.6,12.8,2014
01053,ALABAMA,Escambia,26.0,16.2,21.4,2014
01055,ALABAMA,Etowah,19.6,10.7,17.9,2014
01057,ALABAMA,Fayette,20.8,11.3,23.9,2014
01059,ALABAMA,Franklin,24.3,9.5,25.6,2014
01061,ALABAMA,Geneva,22.6,10.7,21.9,2014
01063,ALABAMA,Greene,36.6,25.9,24.9,2014
01065,ALABAMA,Hale,27.9,13.4,20.6,2014
01067,ALABAMA,Henry,14.8,11.1,20.5,2014
01069,ALABAMA,Houston,18.4,8.1,15.7,2014
01071,ALABAMA,Jackson,18.2,10.4,24.7,2014
01073,ALABAMA,Jefferson,18.7,9.9,12.3,2014
01075,ALABAMA,Lamar,22.6,9.7,22.1,2014
01077,ALABAMA,Lauderdale,18.7,7.9,16.0,2014
01079,ALABAMA,Lawrence,17.1,11.4,21.9,2014
01081,ALABAMA,Lee,23.6,8.4,12.5,2014
01083,ALABAMA,Limestone,14.1,8.4,17.4,2014
01085,ALABAMA,Lowndes,29.3,16.7,27.3,2014
01087,ALABAMA,Macon,26.4,18.8,18.7,2014
01089,ALABAMA,Madison,13.4,9.6,9.9,2014
01091,ALABAMA,Marengo,25.0,11.0,15.7,2014
01093,ALABAMA,Marion,19.4,11.4,25.1,2014
01095,ALABAMA,Marshall,19.9,9.5,22.9,2014
01097,ALABAMA,Mobile,19.9,11.1,15.1,2014
01099,ALABAMA,Monroe,29.2,18.8,21.4,2014
01101,ALABAMA,Montgomery,22.0,8.9,15.0,2014
01103,ALABAMA,Morgan,15.1,10.8,18.1,2014
01105,ALABAMA,Perry,37.4,18.0,30.4,2014
01107,ALABAMA,Pickens,25.6,16.7,21.4,2014
01109,ALABAMA,Pike,27.2,9.9,20.0,2014
01111,ALABAMA,Randolph,23.5,11.4,25.5,2014
01113,ALABAMA,Russell,22.1,12.4,18.7,2014
01115,ALABAMA,St. Clair,16.1,9.5,17.6,2014
01117,ALABAMA,Shelby,8.6,6.2,8.7,2014
01119,ALABAMA,Sumter,38.5,16.7,22.9,2014
01121,ALABAMA,Talladega,23.4,14.9,20.4,2014
01123,ALABAMA,Tallapoosa,21.1,10.3,19.7,2014
01125,ALABAMA,Tuscaloosa,18.4,8.2,13.0,2014
01127,ALABAMA,Walker,23.0,13.1,22.9,2014
01129,ALABAMA,Washington,15.9,19.8,18.0,2014
01131,ALABAMA,Wilcox,40.6,21.6,21.4,2014
01133,ALABAMA,Winston,22.4,10.1,26.2,2014
02013,ALASKA,Aleutians East,16.4,2.2,20.5,2014
02016,ALASKA,Aleutians West,8.9,2.7,14.5,2014
02020,ALASKA,Anchorage,8.3,6.9,7.5,2014
02050,ALASKA,Bethel,23.7,17.3,19.8,2014
02060,ALASKA,Bristol Bay,7.2,5.5,8.8,2014
02068,ALASKA,Denali,12.8,2.7,9.1,2014
02070,ALASKA,Dillingham,18.1,16.4,15.6,2014
02090,ALASKA,Fairbanks North Star,8.0,8.2,6.6,2014
02100,ALASKA,Haines,7.7,6.2,4.3,2014
02105,ALASKA,Hoonah-Angoon,15.0,13.9,10.1,2014
02110,ALASKA,Juneau,6.4,5.6,5.4,2014
02122,ALASKA,Kenai Peninsula,9.3,9.4,6.7,2014
02130,ALASKA,Ketchikan Gateway,11.5,8.5,7.2,2014
02150,ALASKA,Kodiak Island,11.4,5.3,9.0,2014
02164,ALASKA,Lake and Peninsula,18.0,11.9,14.9,2014
02170,ALASKA,Matanuska-Susitna,10.2,10.2,7.5,2014
02180,ALASKA,Nome,27.6,17.6,15.3,2014
02185,ALASKA,North Slope,10.2,10.3,12.9,2014
02188,ALASKA,Northwest Arctic,22.8,23.8,20.7,2014
02195,ALASKA,Petersburg,9.4,5.7,4.6,2014
02198,ALASKA,Prince of Wales-Hyder,15.6,13.4,8.9,2014
02220,ALASKA,Sitka,8.0,4.6,8.0,2014
02230,ALASKA,Skagway,4.5,5.5,3.3,2014
02240,ALASKA,Southeast Fairbanks,13.6,8.4,8.1,2014
02261,ALASKA,Valdez-Cordova,9.8,9.6,8.5,2014
02270,ALASKA,Wade Hampton,33.0,28.7,23.2,2014
02275,ALASKA,Wrangell,9.9,6.0,10.8,2014
02282,ALASKA,Yakutat,4.7,8.2,8.2,2014
02290,ALASKA,Yukon-Koyukuk,24.1,20.3,18.5,2014
04001,ARIZONA,Apache,35.9,20.1,24.2,2014
04003,ARIZONA,Cochise,17.5,9.3,13.7,2014
04005,ARIZONA,Coconino,23.8,9.7,12.2,2014
04007,ARIZONA,Gila,22.4,12.1,16.4,2014
04009,ARIZONA,Graham,21.7,13.2,14.8,2014
04011,ARIZONA,Greenlee,14.6,8.7,14.9,2014
04012,ARIZONA,La Paz,18.4,12.2,23.1,2014
04013,ARIZONA,Maricopa,17.1,8.9,13.4,2014
04015,ARIZONA,Mohave,19.9,14.3,16.1,2014
04017,ARIZONA,Navajo,30.7,19.9,19.0,2014
04019,ARIZONA,Pima,19.0,10.8,12.5,2014
04021,ARIZONA,Pinal,16.8,11.6,15.1,2014
04023,ARIZONA,Santa Cruz,24.4,11.8,26.9,2014
04025,ARIZONA,Yavapai,16.1,10.9,10.1,2014
04027,ARIZONA,Yuma,20.7,13.4,28.3,2014
05001,ARKANSAS,Arkansas,17.7,7.7,16.8,2014
05003,ARKANSAS,Ashley,19.8,12.0,15.2,2014
05005,ARKANSAS,Baxter,14.9,9.1,13.0,2014
05007,ARKANSAS,Benton,11.7,5.0,13.6,2014
05009,ARKANSAS,Boone,16.9,9.3,15.1,2014
05011,ARKANSAS,Bradley,29.4,7.3,20.6,2014
05013,ARKANSAS,Calhoun,16.7,7.5,18.1,2014
05015,ARKANSAS,Carroll,17.9,7.4,16.6,2014
05017,ARKANSAS,Chicot,32.4,12.0,23.1,2014
05019,ARKANSAS,Clark,23.7,10.4,14.6,2014
05021,ARKANSAS,Clay,20.4,11.2,22.8,2014
05023,ARKANSAS,Cleburne,15.9,12.0,15.4,2014
05025,ARKANSAS,Cleveland,18.7,10.3,15.1,2014
05027,ARKANSAS,Columbia,26.8,9.5,16.0,2014
05029,ARKANSAS,Conway,22.7,8.7,14.9,2014
05031,ARKANSAS,Craighead,21.5,8.2,13.5,2014
05033,ARKANSAS,Crawford,18.8,8.5,15.5,2014
05035,ARKANSAS,Crittenden,25.9,12.6,19.5,2014
05037,ARKANSAS,Cross,19.4,9.1,21.5,2014
05039,ARKANSAS,Dallas,14.5,7.1,16.1,2014
05041,ARKANSAS,Desha,31.1,15.1,22.3,2014
05043,ARKANSAS,Drew,29.3,14.4,17.1,2014
05045,ARKANSAS,Faulkner,15.1,6.8,10.3,2014
05047,ARKANSAS,Franklin,19.9,11.3,16.8,2014
05049,ARKANSAS,Fulton,20.6,8.7,15.5,2014
05051,ARKANSAS,Garland,22.1,10.0,13.1,2014
05053,ARKANSAS,Grant,11.2,9.5,14.3,2014
05055,ARKANSAS,Greene,17.8,9.6,16.2,2014
05057,ARKANSAS,Hempstead,26.3,9.9,19.6,2014
05059,ARKANSAS,Hot Spring,14.5,7.9,15.6,2014
05061,ARKANSAS,Howard,21.0,9.4,22.4,2014
05063,ARKANSAS,Independence,23.2,7.8,18.0,2014
05065,ARKANSAS,Izard,18.7,10.5,18.7,2014
05067,ARKANSAS,Jackson,26.4,8.3,23.1,2014
05069,ARKANSAS,Jefferson,24.5,12.7,15.7,2014
05071,ARKANSAS,Johnson,21.2,6.8,21.7,2014
05073,ARKANSAS,Lafayette,26.0,14.8,22.3,2014
05075,ARKANSAS,Lawrence,23.6,8.4,18.9,2014
05077,ARKANSAS,Lee,29.8,18.4,31.7,2014
05079,ARKANSAS,Lincoln,26.7,16.4,25.0,2014
05081,ARKANSAS,Little River,16.4,7.5,14.9,2014
05083,ARKANSAS,Logan,17.1,8.5,18.0,2014
05085,ARKANSAS,Lonoke,13.2,7.1,12.8,2014
05087,ARKANSAS,Madison,21.1,8.3,23.3,2014
05089,ARKANSAS,Marion,18.8,9.6,15.4,2014
05091,ARKANSAS,Miller,20.0,9.3,15.4,2014
05093,ARKANSAS,Mississippi,26.7,13.3,21.4,2014
05095,ARKANSAS,Monroe,30.2,12.7,24.1,2014
